catalogue_group,resource_type,title,url,last_modified,page_detail,synopsis
Course,Course,Supporting primary students following a disaster or community trauma,https://emergingminds.com.au/training/online-training/supporting-primary-students-following-a-disaster-or-community-trauma/,2023-03-14T02:48:56+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.",A free e-learning course for primary school educators working with children who've experienced a natural disaster or community trauma.
Course,Course,Supporting secondary students following a disaster or community trauma,https://emergingminds.com.au/training/online-training/supporting-secondary-students-following-a-disaster-or-community-trauma/,2023-03-14T02:48:50+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.",A free e-learning course for secondary school educators working with children who've experienced a natural disaster or community trauma.
Course,Course,Supporting the mental health of children with higher weight,https://emergingminds.com.au/training/online-training/supporting-the-mental-health-of-children-with-higher-weight/,2023-03-14T02:52:56+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.",Supporting the mental health of children with higher weight online course for practitioners working with children and families
Course,Course,The Family Partnerships Practice Model: A guide for early learning service educators,https://emergingminds.com.au/training/online-training/the-family-partnerships-practice-model-for-early-learning-educators/,2024-08-29T05:05:36+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.","This course introduces the Family Partnerships Practice Model for early learning services educators, a four-step model which provides strategies and guidance on setting up, implementing and maintaining effective family partnerships."
Course,Course,The Family Partnerships Practice Model: A guide for primary school educators,https://emergingminds.com.au/training/online-training/the-family-partnerships-practice-model-primary-school-educators/,2024-08-29T05:05:31+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.","This course introduces the Family Partnerships Practice Model for primary school educators, a four-step model which provides strategies and guidance on setting up, implementing and maintaining effective family partnerships."
Course,Course,The impact of family and domestic violence on the child,https://emergingminds.com.au/training/online-training/the-impact-of-fdv-on-the-child-an-introduction/,2023-03-14T02:41:10+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.",This free e-learning course provides practitioners with an introduction to the impact of family and domestic violence (FDV) on children.
Course,Course,The impact of parental substance use on the child,https://emergingminds.com.au/training/online-training/the-impact-of-parental-substance-use-on-the-child-foundation/,2023-03-14T02:41:46+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.",This free e-learning course introduces practitioners to the impact of parental alcohol and other drugs (AOD) use on children.
Course,Course,The impact of trauma on the child,https://emergingminds.com.au/training/online-training/the-impact-of-trauma-on-the-child-foundation/,2025-03-06T00:25:00+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.",This free online course introduces learners to key understandings about interpersonal trauma and its impact on children.
Course,Course,Understanding and responding to childhood suicidal ideation,https://emergingminds.com.au/training/online-training/understanding-and-responding-to-childhood-suicidal-ideation/,2025-01-15T00:17:33+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.","This course supports practitioners who are working with children experiencing distress and despair, and who may think and talk about suicide."
Course,Course,Understanding autistic and ADHDer children’s mental health,https://emergingminds.com.au/training/online-training/understanding-autistic-and-adhder-childrens-mental-health/,2025-03-30T22:54:47+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.",This course offers a neurodivergent-affirming approach for practitioners working to support the mental health of autistic and ADHDer children
Course,Course,Understanding brain development,https://emergingminds.com.au/training/online-training/understanding-brain-development/,2023-07-31T03:19:02+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.",This free course provides an understanding of the foundational concepts of developmental neuroscience (brain development).
Course,Course,Understanding child mental health,https://emergingminds.com.au/training/online-training/understanding-child-mental-health-an-introduction/,2023-03-14T02:49:30+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.","This free e-learning course explores mental health for children aged 0–12 years, helping practitioners identify supportive factors."
Course,Course,Understanding child mental health and chronic physical conditions,https://emergingminds.com.au/training/online-training/understanding-child-mental-health-and-chronic-physical-conditions/,2023-03-14T02:51:34+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.",Learn how you can support the mental health and wellbeing of children with chronic physical conditions.
Course,Course,Understanding child mental health and disability,https://emergingminds.com.au/training/online-training/understanding-child-mental-health-and-disability/,2023-03-14T02:47:30+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.","Focused disability-aware practice, this free e-learning course explores mental health for children aged 0–12 who are living with disability."
Course,Course,Understanding childhood bullying and mental health,https://emergingminds.com.au/training/online-training/understanding-childhood-bullying-and-mental-health/,2023-03-14T02:52:42+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.",Learn how you can support the mental health and wellbeing of children experiencing chronic physical conditions.
Course,Course,Understanding children’s mental health in culturally diverse (or ‘CALD’) communities,https://emergingminds.com.au/training/online-training/understanding-childrens-mental-health-in-culturally-diverse-communities/,2023-11-20T02:38:50+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.",Learn about the key domains that support children's mental health when working with culturally and linguistically diverse communities.
Course,Course,Using Aboriginal cultural knowledge systems to strengthen families’ resilience,https://emergingminds.com.au/training/online-training/using-aboriginal-cultural-knowledge-systems/,2023-03-14T02:48:00+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.",Build your understanding of cultural protective factors and the importance of relationships when engaging with First Nations families.
Course,Course,Walking alongside Aboriginal and Torres Strait Islander children in out-of-home care,https://emergingminds.com.au/training/online-training/walking-alongside-aboriginal-and-torres-strait-islander-children-in-out-of-home-care/,2025-03-20T01:45:48+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.",This course provides tangible examples that can be applied to equip Aboriginal and Torres Strait Islander children in out-of-home care.
Course,Course,Working with Aboriginal and Torres Strait Islander families and children: A framework for understanding,https://emergingminds.com.au/training/online-training/working-with-first-nations-families-and-children-a-framework-for-understanding/,2023-08-10T05:22:38+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.","This course helps non-Indigenous practitioners to develop the skills to engage with First Nations children, families and communities."
